osm_type,osm_id,name,brand,address,city,state,country,latitude,longitude
node,3181270556,D1,D1,Vía Las Palmas Km 2,Medellín,,CO,6.2273024,-75.5658832
node,3277724598,D1,D1,,,,CO,4.5376051,-75.6720194
node,3315519261,D1,,,,,CO,4.7989414,-75.7424329
node,3348458309,D1,D1,Carrera 9,Pereira,,CO,4.8130442,-75.6954892
node,3406307355,D1,D1,,,,CO,4.5542969,-75.6636726
node,3669356890,D1,D1,,,,CO,4.655924,-74.0627137
node,3763117058,D1,D1,,,,CO,4.5572902,-75.6566292
node,3811561150,D1,D1,,,,CO,6.2502427,-75.6035507
node,4056667789,D1,D1,Carrera 8,,,CO,4.64867,-74.060936
node,4099716954,D1,,,,,CO,5.0534098,-75.4886634
node,4099716955,D1,D1,,,,CO,5.0608513,-75.4883307
node,4139560682,D1,D1,,,,CO,4.7498643,-74.0591868
node,4153630420,D1,,,,,CO,4.9388769,-75.7384092
node,4180933094,D1,D1,,,,CO,4.6979374,-74.0427787
node,4181177389,D1,D1,Calle 109,,,CO,4.6946408,-74.0496642
node,4294498799,D1,D1,,,,CO,4.6442149,-74.1299325
node,4301425548,D1,,,,,CO,3.4608359,-76.5276022
node,4356206867,D1,,,,,CO,4.7433696,-74.0580241
node,4363723491,D1,D1,,,,CO,4.7480258,-74.0464015
node,4497757195,D1,D1,,,,CO,4.6336157,-74.0730843
node,4543690189,D1,D1,Avenida Norte 47A-10,,,CO,5.5550536,-73.3508385
node,4580151589,D1,D1,,,,CO,4.7498498,-74.0734081
node,4624673789,D1,,,,,CO,6.210062,-75.5763717
node,4635874890,D1,D1,Calle 12 17-116,,,CO,4.7957236,-75.6912532
node,4636534723,D1,D1,,,,CO,4.5946928,-74.1022631
node,4722369489,D1,D1,,,,CO,6.1735086,-75.3343609
node,4723462890,D1,D1,,,,CO,6.1747094,-75.3394672
node,4725214292,D1,D1,,,,CO,6.1766121,-75.3444386
node,4727005889,D1,,,,,CO,6.1307776,-75.3795787
node,4785320141,D1,D1,,,,CO,6.6442238,-75.4611664
node,4790681622,D1,D1,Carrera 50 49 34,,,CO,4.2635972,-75.9340334
node,4795577625,D1,D1,Variante Condina,,,CO,4.7642725,-75.6871982
node,4814727521,D1,D1,,,,CO,4.6753736,-74.1347223
node,4827054332,D1,D1,,,,CO,4.5714663,-74.0976543
node,4888197434,D1,D1,,,,CO,4.6178419,-74.0835961
node,4889877321,D1,,,,,CO,3.4519649,-76.5370156
node,4936329521,D1,,,,,CO,4.154936,-76.2866509
node,4951675833,D1,,,,,CO,6.2642098,-75.596644
node,4969112421,D1,,,,,CO,6.2216938,-75.5802303
node,5072217965,D1,D1,,,,CO,4.7045652,-74.0502275
node,5090246221,D1,,,,,CO,5.5455184,-73.3599185
node,5127009669,D1,D1,Calle 161,,,CO,4.7366502,-74.022263
node,5131767305,D1,D1,Calle 162,,,CO,4.7379029,-74.0259275
node,5131867211,D1,D1,Avenida Calle 161,,,CO,4.74012,-74.0410362
node,5133786379,D1,D1,Avenida Carrera 7,,,CO,4.6367404,-74.0634152
node,5148182851,D1,D1,Avenida Carrera 70,,,CO,4.6746908,-74.0982432
node,5159761195,D1,D1,Calle 138,,,CO,4.7239459,-74.0522206
node,5159860628,D1,D1,Avenida Carrera 50,,,CO,4.6776007,-74.0661825
node,5171852808,D1,D1,Calle 10,,,CO,4.7124043,-74.2262303
node,5178411724,D1,D1,Calle 51,,,CO,4.6401253,-74.0759104
node,5209139586,D1,D1,Avenida Calle 13,,,CO,4.6054882,-74.0816007
node,5209154463,D1,D1,Avenida Carrera 27,,,CO,4.5903319,-74.1081831
node,5214856563,D1,D1,Avenida Carrera 13,,,CO,4.6108987,-74.0727489
node,5230915284,D1,D1,Avenida Calle 63 15-18,,,CO,4.6500185,-74.0659549
node,5250722027,D1,D1,TransMilenio,,,CO,4.6372925,-74.1549825
node,5252831548,D1,D1,Carrera 69,,,CO,4.6120424,-74.1350065
node,5273979922,D1,,,,,CO,3.4847516,-76.4906604
node,5316723648,D1,,,,,CO,3.2661487,-76.5376569
node,5316724408,Tiendas D1 El Ingenio,D1,,,,CO,3.3830247,-76.5254707
node,5316726750,D1,,,,,CO,3.4315841,-76.4977687
node,5322718974,D1,D1,,,,CO,4.7406379,-74.1136304
node,5349612723,D1,D1,,,,CO,2.4537157,-76.5998311
node,5364519805,D1,D1,,,,CO,6.2165131,-75.2387369
node,5372965320,D1,,,,,CO,4.8289654,-75.6823078
node,5421594127,D1,D1,,,,CO,4.7412889,-74.063973
node,5438366873,D1,D1,,,,CO,4.6111439,-74.2058767
node,5451269821,D1,,,,,CO,3.433526,-76.538874
node,5460739222,D1,,,,,CO,6.5011803,-75.7424307
node,5481518021,Tienda D1,D1,Carrera 11,,,CO,6.5526621,-73.132314
node,5483005024,D1,D1,,,,CO,4.6874523,-74.0477903
node,5495009768,D1,D1,,,,CO,4.7239356,-74.1147126
node,5540623479,D1,D1,,,,CO,4.622159,-74.0770777
node,5548721140,D1,,,,,CO,6.1793008,-75.4429223
node,5548721288,D1,,,,,CO,6.1712576,-75.4902527
node,5790740877,D1,D1,,,,CO,4.6546155,-74.1309764
node,5837992255,D1,,Carrera 10,Girardot,,CO,4.3038204,-74.8032156
node,5838963427,D1,,,,,CO,5.7689806,-72.9403224
node,5846107546,D1,,,,,CO,6.133089,-75.4025348
node,5902125964,D1,,,,,CO,5.5503472,-73.3596146
