Fetching index: https://www.sucursales24.com.co/tiendas-d1/todos/
Found 210 city pages
[1/210] https://www.sucursales24.com.co/acacias/tiendas-d1/ -> 0 stores
[2/210] https://www.sucursales24.com.co/aguadas/tiendas-d1/ -> 0 stores
[3/210] https://www.sucursales24.com.co/aguazul/tiendas-d1/ -> 0 stores
[4/210] https://www.sucursales24.com.co/andalucia/tiendas-d1/ -> 0 stores
[5/210] https://www.sucursales24.com.co/ansermanuevo/tiendas-d1/ -> 0 stores
[6/210] https://www.sucursales24.com.co/apartado/tiendas-d1/ -> 3 stores
[7/210] https://www.sucursales24.com.co/arauca/tiendas-d1/ -> 0 stores
[8/210] https://www.sucursales24.com.co/arjona/tiendas-d1/ -> 0 stores
[9/210] https://www.sucursales24.com.co/armenia/tiendas-d1/ -> 15 stores
[10/210] https://www.sucursales24.com.co/baranoa/tiendas-d1/ -> 0 stores
[11/210] https://www.sucursales24.com.co/barbosa/tiendas-d1/ -> 0 stores
[12/210] https://www.sucursales24.com.co/barichara/tiendas-d1/ -> 0 stores
[13/210] https://www.sucursales24.com.co/barrancabermeja/tiendas-d1/ -> 6 stores
[14/210] https://www.sucursales24.com.co/barranquilla/tiendas-d1/ -> 20 stores
[15/210] https://www.sucursales24.com.co/becerril/tiendas-d1/ -> 0 stores
[16/210] https://www.sucursales24.com.co/belen-boyaca/tiendas-d1/ -> 0 stores
[17/210] https://www.sucursales24.com.co/belen-de-umbria/tiendas-d1/ -> 0 stores
[18/210] https://www.sucursales24.com.co/bello/tiendas-d1/ -> 20 stores
[19/210] https://www.sucursales24.com.co/bogota/tiendas-d1/ -> 20 stores
[20/210] https://www.sucursales24.com.co/bolivar-santander/tiendas-d1/ -> 0 stores
[21/210] https://www.sucursales24.com.co/bucaramanga/tiendas-d1/ -> 20 stores
[22/210] https://www.sucursales24.com.co/buenaventura/tiendas-d1/ -> 7 stores
[23/210] https://www.sucursales24.com.co/buesaco/tiendas-d1/ -> 0 stores
[24/210] https://www.sucursales24.com.co/buga/tiendas-d1/ -> 3 stores
[25/210] https://www.sucursales24.com.co/cajica/tiendas-d1/ -> 3 stores
[26/210] https://www.sucursales24.com.co/calamar-bolivar/tiendas-d1/ -> 0 stores
[27/210] https://www.sucursales24.com.co/calarca/tiendas-d1/ -> 2 stores
[28/210] https://www.sucursales24.com.co/caldas/tiendas-d1/ -> 4 stores
[29/210] https://www.sucursales24.com.co/cali/tiendas-d1/ -> 20 stores
