osm_id,osm_type,name,brand,operator,addr_full,addr_street,addr_housenumber,addr_city,addr_state,addr_postcode,opening_hours,phone,website,lat,lon
2337304675,node,Tiendas D1,,,,,,Vélez,,,Mo-Su 7:00-21:00,,https://tiendasd1.com/,6.0131647,-73.6753169
3181270556,node,D1,D1,D1,,Vía Las Palmas Km 2,,Medellín,,,,,,6.2273024,-75.5658832
3277724598,node,D1,D1,,,,,,,,,,,4.5376051,-75.6720194
3315519261,node,D1,,,,,,,,,,,,4.7989414,-75.7424329
3348458309,node,D1,D1,,,Carrera 9,,Pereira,,660002,Mo-Su 08:00-21:00,,http://tiendasd1.com,4.8130442,-75.6954892
3406307355,node,D1,D1,,,,,,,,,,,4.5542969,-75.6636726
3669356890,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.655924,-74.0627137
3763117058,node,D1,D1,,,,,,,,Mo-Sa 08:00-21:00,,,4.5572902,-75.6566292
3811561150,node,D1,D1,,,,,,,,"PH,Mo-Su 08:00-21:00",,,6.2502427,-75.6035507
4056667789,node,D1,D1,,,Carrera 8,,,,,Mo-Su 08:00-21:00,,https://d1.com.co/,4.64867,-74.060936
4099716954,node,D1,,,,,,,,,,,,5.0534098,-75.4886634
4099716955,node,D1,D1,,,,,,,,,,,5.0608513,-75.4883307
4139560682,node,D1,D1,,,,,,,,,,,4.7498643,-74.0591868
4153630420,node,D1,,,,,,,,,,,,4.9388769,-75.7384092
4180933094,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.6979374,-74.0427787
4181177389,node,D1,D1,,,Calle 109,,,,,,,https://d1.com.co/,4.6946408,-74.0496642
4294498799,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.6442149,-74.1299325
4301425546,node,Tienda D1,,,,Avenida 6 Norte,,Cali,,,Mo-Su 09:00-20:00,,,3.4655944,-76.5303649
4301425548,node,D1,,,,,,,,,,,,3.4608359,-76.5276022
4319808010,node,D1 Guayabal,,D1,,Calle 9 Sur,,Medellín,,050023,Mo-Fr 9:00-19:00; Sa-Su 10:00-18:00,,,6.2009656,-75.5889166
4346644428,node,Tienda D1,,,,,,,,,,,,4.5676637,-75.7502752
4356206867,node,D1,,,,,,,,,,,,4.7433696,-74.0580241
4363723491,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.7480258,-74.0464015
4497757195,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.6336157,-74.0730843
4543690189,node,D1,D1,,,Avenida Norte,47A-10,,,,,,,5.5550536,-73.3508385
4571192690,node,Tiendas D1,,,,,,,,,Mo-Su 07:00-20:00,,,3.0071491,-76.4823058
4580151589,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.7498498,-74.0734081
4596950198,node,Tienda D1,,,,,,,,,,,,6.163919,-75.622271
4623922192,node,Tiendas D1 La 92,,Koba International Group,,Calle 92,50D-31,Medellín,,005004,Mo-Su 08:00-21:00,,https://domicilios.tiendasd1.com/?utm_source=google&utm_medium=sem&utm_campaign=domicilios&utm_term=clicks_cpc&utm_content=sem-seasonal&gad_source=1&gclid=Cj0KCQiAwbitBhDIARIsABfFYIKCxAMWbOVPD0KYehv4F1rhC0a7P8ZfBT8jHsfGCXzUsLq-gvjd6tQaApo6EALw_wcB,6.2833532,-75.5604981
4624673789,node,D1,,,,,,,,,Mo-Su 08:00-21:00,,,6.210062,-75.5763717
4635874890,node,D1,D1,,,Calle 12,17-116,,,,,,,4.7957236,-75.6912532
4636534723,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.5946928,-74.1022631
4697614395,node,Tienda D1,,,,,,,,,,,,6.4359577,-75.3318002
4722369489,node,D1,D1,,,,,,,,,,,6.1735086,-75.3343609
4723462890,node,D1,D1,,,,,,,,,,,6.1747094,-75.3394672
4725214292,node,D1,D1,,,,,,,,,,,6.1766121,-75.3444386
4727005889,node,D1,,,,,,,,,,,,6.1307776,-75.3795787
4782017748,node,Tiendas D1,,,,,,,,,,,,4.5238198,-76.0360276
4785320141,node,D1,D1,,,,,,,,,,,6.6442238,-75.4611664
4790681622,node,D1,D1,,,Carrera 50,49 34,,,,Mo-Su 08:00-21:00,,http://www.tiendasd1.com,4.2635972,-75.9340334
4795577625,node,D1,D1,Tiendas D1,,Variante Condina,,,,,Mo-Sa 08:00-20:00,,http://www.tiendssd1.com,4.7642725,-75.6871982
4814727521,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.6753736,-74.1347223
4827054332,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.5714663,-74.0976543
4840617199,node,,,D1,,,,,,,,,,4.7518978,-74.0918755
4888197434,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.6178419,-74.0835961
4889877321,node,D1,,,,,,,,,,,,3.4519649,-76.5370156
4936329521,node,D1,,,,,,,,,,,,4.154936,-76.2866509
4951675833,node,D1,,,,,,,,,,,,6.2642098,-75.596644
4969112421,node,D1,,,,,,,,,,,,6.2216938,-75.5802303
5072217965,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.7045652,-74.0502275
5090246221,node,D1,,,,,,,,,,,,5.5455184,-73.3599185
5127009669,node,D1,D1,,,Calle 161,,,,,,,,4.7366502,-74.022263
5131767305,node,D1,D1,,,Calle 162,,,,,,,https://d1.com.co/,4.7379029,-74.0259275
5131867211,node,D1,D1,,,Avenida Calle 161,,,,,,,https://d1.com.co/,4.74012,-74.0410362
5133786379,node,D1,D1,,,Avenida Carrera 7,,,,,Mo-Su 08:00-21:00; PH 08:00-20:00,,https://d1.com.co/,4.6367404,-74.0634152
5148182851,node,D1,D1,,,Avenida Carrera 70,,,,,,,https://d1.com.co/,4.6746908,-74.0982432
5159761195,node,D1,D1,,,Calle 138,,,,,,,https://d1.com.co/,4.7239459,-74.0522206
5159860628,node,D1,D1,,,Avenida Carrera 50,,,,,,,https://d1.com.co/,4.6776007,-74.0661825
5171852808,node,D1,D1,,,Calle 10,,,,,Mo-Su 08:00-21:00,,,4.7124043,-74.2262303
5178411724,node,D1,D1,,,Calle 51,,,,,,,https://d1.com.co/,4.6401253,-74.0759104
5209139586,node,D1,D1,,,Avenida Calle 13,,,,,,,https://d1.com.co/,4.6054882,-74.0816007
5209154463,node,D1,D1,,,Avenida Carrera 27,,,,,,,https://d1.com.co/,4.5903319,-74.1081831
5214856563,node,D1,D1,,,Avenida Carrera 13,,,,,,,https://d1.com.co/,4.6108987,-74.0727489
5230915284,node,D1,D1,,,Avenida Calle 63,15-18,,,,,,https://d1.com.co/,4.6500185,-74.0659549
5250722027,node,D1,D1,,,TransMilenio,,,,,,,https://d1.com.co/,4.6372925,-74.1549825
5252831548,node,D1,D1,,,Carrera 69,,,,,,,https://d1.com.co/,4.6120424,-74.1350065
5273979922,node,D1,,,,,,,,,,,,3.4847516,-76.4906604
5316723648,node,D1,,,,,,,,,,,,3.2661487,-76.5376569
