source,name,street_address,city,lat,lon,page_url
sucursales24,Tiendas D1,Carrera 76 Y Calle 102 C,Apartadó,7.8791359,-76.6089512,https://www.sucursales24.com.co/apartado/tiendas-d1/carrera-76-y-calle-102-c-2/
sucursales24,Tiendas D1,Cra. 100 #94-76,Apartadó,7.880276,-76.6332222,https://www.sucursales24.com.co/apartado/tiendas-d1/cra-100-94-76-0/
sucursales24,Tiendas D1,Cra. 103 #97a-28,Apartadó,7.8800806,-76.6350012,https://www.sucursales24.com.co/apartado/tiendas-d1/cra-103-97a-28-1/
sucursales24,Tiendas D1,Av. Bolívar #1-23,Armenia,4.5446008,-75.6629019,https://www.sucursales24.com.co/armenia/tiendas-d1/av-bolivar-1-23-6/
sucursales24,Tiendas D1,Av. Bolívar #4-4,Armenia,4.5413016,-75.6641801,https://www.sucursales24.com.co/armenia/tiendas-d1/av-bolivar-4-4-5/
sucursales24,Tiendas D1,Cl. 11 #21a-55,Armenia,4.5419532,-75.6724747,https://www.sucursales24.com.co/armenia/tiendas-d1/cl-11-21a-55-7/
sucursales24,Tiendas D1,Cl. 14 #18-05,Armenia,4.537726,-75.6719624,https://www.sucursales24.com.co/armenia/tiendas-d1/cl-14-18-05-2/
sucursales24,Tiendas D1,Cl. 21 #25-75,Armenia,4.5391999,-75.6794238,https://www.sucursales24.com.co/armenia/tiendas-d1/cl-21-25-75-9/
sucursales24,Tiendas D1,Cl. 22 #40-57,Armenia,4.5427478,-75.6901266,https://www.sucursales24.com.co/armenia/tiendas-d1/cl-22-40-57-8/
sucursales24,Tiendas D1,Cl 30 #31 - 35,Armenia,4.5316696,-75.6920561,https://www.sucursales24.com.co/armenia/tiendas-d1/cl-30-31---35-12/
sucursales24,Tiendas D1,Cl. 36 #18-35,Armenia,4.5265885,-75.6825084,https://www.sucursales24.com.co/armenia/tiendas-d1/cl-36-18-35-14/
sucursales24,Tiendas D1,Cl. 50 #37-19,Armenia,4.5199227,-75.7008026,https://www.sucursales24.com.co/armenia/tiendas-d1/cl-50-37-19-11/
sucursales24,Tiendas D1,Cra. 13 #22-41,Armenia,4.5312399,-75.6736984,https://www.sucursales24.com.co/armenia/tiendas-d1/cra-13-22-41-3/
sucursales24,Tiendas D1,Cra. 14 #18n-50 ,Armenia,4.5338423,-75.6721787,https://www.sucursales24.com.co/armenia/tiendas-d1/cra-14-18n-50-4/
sucursales24,Tiendas D1,Cra 15 #11-35,Armenia,4.5373242,-75.6689957,https://www.sucursales24.com.co/armenia/tiendas-d1/cra-15-11-35-10/
sucursales24,Tiendas D1,Cra. 18 #5-9,Armenia,4.5418713,-75.6670409,https://www.sucursales24.com.co/armenia/tiendas-d1/cra-18-5-9-13/
sucursales24,Tiendas D1,Cra. 19 #1-5 ,Armenia,4.5443425,-75.6659964,https://www.sucursales24.com.co/armenia/tiendas-d1/cra-19-1-5-0/
sucursales24,Tiendas D1,Cra. 6 #19n - 75,Armenia,4.5524997,-75.6520829,https://www.sucursales24.com.co/armenia/tiendas-d1/cra-6-19n---75-1/
