Project Name,City,State,Event / Note (optional),Polygon Exact Name,Timeframe Start,Timeframe End,Time Repitition Frame,Specific Day,OverNight Timelap,TimeZone,UTC Time,Start Time (empty= All Day),End Time (empty= All Day)
Dr Simi - Houston,Houston,Texas,,MUJERES HISPANAS Houston @ Toyota Center,6/17/2025,6/17/2025,Once,,,America/Chicago,UTC−5,19:30:00,23:30:00
Dr Simi - Houston,Houston,Texas,,Selecciones de Fútbol,4/17/2025,4/17/2025,Once,,,America/Chicago,UTC−5,17:30:00,23:30:00
Dr Simi - Houston,Houston,Texas,,MEXICANOS EN TEXAS Copa Oro MÃ©xico vs SurinamÂ,5/6/2025,5/6/2025,Once,,,America/Chicago,UTC−5,17:30:00,23:30:00
Dr Simi - Houston,Houston,Texas,,MEX GUETO La Santa Grifa,5/30/2025,5/30/2025,Once,,,America/Chicago,UTC−5,17:30:00,23:30:00
Dr Simi - Houston,Houston,Texas,,*Escapade 2001,5/1/2025,6/30/2025,Daily,,,America/Chicago,UTC−5,22:00:00,7:00:00
Dr Simi - Houston,Houston,Texas,,Selecciones de Fútbol Houston II,5/23/2025,5/25/2025,Daily,,,America/Chicago,UTC−5,17:30:00,23:00:00
Dr Simi - Houston,Houston,Texas,,DISCO MÚSICA MEXICANA,4/1/2025,7/31/2025,Specific,"Fridays, Saturdays, Sundays",,America/Chicago,UTC−5,0:00,2:00:00
Dr Simi - Houston,Houston,Texas,,*CENTRO CULTURAL DE JARIPEO FAMILIAR,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,*Salón de Eventos Mexicano,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Salvadoreños Houston,4/13/2025,4/13/2025,Once,,,America/Chicago,UTC−5,12:00:00,19:30:00
Dr Simi - Houston,Houston,Texas,,Mercado de Pulgas,5/4/2025,5/4/2025,Once,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Plaza de Toros Austin 4 de julio,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,WTS BARRIO POBRE TODO HISPANO,4/1/2025,7/31/2025,Specific,"Mondays, Tuesdays, Wednesdays, Thursdays",,America/Chicago,UTC−5,0:00:00,4:30:00
Dr Simi - Houston,Houston,Texas,,WTS Jacinto City II,4/1/2025,7/31/2025,Specific,"Mondays, Tuesdays, Wednesdays, Thursdays",,America/Chicago,UTC−5,0:00:00,4:30:00
Dr Simi - Houston,Houston,Texas,,WTS Barrio Todo Hispano Galena Park Houston,4/1/2025,7/31/2025,Specific,"Mondays, Tuesdays, Wednesdays, Thursdays",,America/Chicago,UTC−5,0:00:00,4:30:00
Dr Simi - Houston,Houston,Texas,,*WTS Asentamiento Inmigrante (Colony Ridge I),4/1/2025,7/31/2025,Specific,"Mondays, Tuesdays, Wednesdays, Thursdays",,America/Chicago,UTC−5,0:00:00,4:30:00
Dr Simi - Houston,Houston,Texas,,*WTS Asentamiento Inmigrante II,4/1/2025,7/31/2025,Specific,"Mondays, Tuesdays, Wednesdays, Thursdays",,America/Chicago,UTC−5,0:00:00,4:30:00
Dr Simi - Houston,Houston,Texas,,*Salón de Eventos Comunidad Hispana III,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Fiesta Market Aldine Houston,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,*30 Barrio Hispano Aldine II,4/1/2025,7/31/2025,Specific,"Mondays, Tuesdays, Wednesdays, Thursdays",,America/Chicago,UTC−5,0:00:00,4:30:00
Dr Simi - Houston,Houston,Texas,,Mega Mercado de Pulgas Hispano II,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Mega Mercado de Pulgas Estacionamiento,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Complejo Futbolero Aldine Houston,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Complejo Futbolero Aldine Houston II,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
